15:07:01.717:08811		 0.08811
15:07:01.717:08811		 0.08811
15:07:01.717:08811		 0.08811
15:07:01.727:	 		 0.08811
15:07:01.727:	 		 0.08811
15:07:01.727:	 		 0.08811
15:07:01.747:	 		 0.08811
15:07:01.747:	 		 0.08811
15:07:01.747:	 		 0.08811
15:07:01.757:	 		 0.08811
15:07:01.757:	 		 0.08811
15:07:01.757:	 		 0.08811
15:07:01.777:	 		 0.08811
15:07:01.777:	 		 0.08811
15:07:01.777:	 		 0.08811
15:07:01.797:	 		 0.08811
15:07:01.797:	 		 0.08811
15:07:01.797:	 		 0.08811
15:07:01.807:	 		 0.08811
15:07:01.807:	 		 0.08811
15:07:01.807:	 		 0.08811
15:07:01.827:	 		 0.08811
15:07:01.827:	 		 0.08811
15:07:01.827:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.857:	 		 0.08811
15:07:01.867:	 		 0.08811
15:07:01.867:	 		 0.08811
15:07:01.867:	 		 0.08811
15:07:01.887:	 		 0.08811
15:07:01.887:	 		 0.08811
15:07:01.887:	 		 0.08811
15:07:01.907:	 		 0.08811
15:07:01.907:	 		 0.08811
15:07:01.907:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.937:	 		 0.08811
15:07:01.947:	 		 0.08811
15:07:01.947:	 		 0.08811
15:07:01.947:	 		 0.08811
15:07:01.967:	 		 0.08811
15:07:01.967:	 		 0.08811
15:07:01.967:	 		 0.08811
15:07:01.977:	 		 0.08811
15:07:01.977:	 		 0.08811
15:07:01.977:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.08811
15:07:02.017:	 		 0.088
15:07:02.027:11	 		 0.08811
15:07:02.027:11	 		 0.08811
15:07:02.027:11	 		 0.08811
15:07:02.047:	 		 0.08811
15:07:02.047:	 		 0.08811
15:07:02.047:	 		 0.08811
15:07:02.057:	 		 0.08811
15:07:02.057:	 		 0.08811
15:07:02.057:	 		 0.08811
15:07:02.077:	 		 0.08811
15:07:02.077:	 		 0.08811
15:07:02.077:	 		 0.08811
15:07:02.077:	 		 0.
15:07:02.097:08811		 0.08811
15:07:02.097:08811		 0.08811
15:07:02.097:08811		 0.08811
15:07:02.107:	 		 0.08811
15:07:02.107:	 		 0.08811
15:07:02.107:	 		 0.08811
15:07:02.127:	 		 0.08811
15:07:02.127:	 		 0.08811
15:07:02.127:	 		 0.08811
15:07:02.137:	 		 0.08811
15:07:02.137:	 		 0.08811
15:07:02.137:	 		 0.08811
15:07:02.157:	 		 0.08811
15:07:02.157:	 		 0.08811
15:07:02.157:	 		 0.08811
15:07:02.167:	 		 0.08811
15:07:02.167:	 		 0.08811
15:07:02.167:	 		 0.08811
15:07:02.187:	 		 0.08811
15:07:02.187:	 		 0.08811
15:07:02.187:	 		 0.08811
15:07:02.207:	 		 0.08811
15:07:02.207:	 		 0.08811
15:07:02.207:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.237:	 		 0.08811
15:07:02.247:	 		 0.08811
15:07:02.247:	 		 0.08811
15:07:02.247:	 		 0.08811
15:07:02.267:	 		 0.08811
15:07:02.267:	 		 0.08811
15:07:02.267:	 		 0.08811
15:07:02.287:	 		 0.08811
15:07:02.287:	 		 0.08811
15:07:02.287:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.317:	 		 0.08811
15:07:02.327:	 		 0.08811
15:07:02.327:	 		 0.08811
15:07:02.327:	 		 0.08811
15:07:02.347:	 		 0.08811
15:07:02.347:	 		 0.08811
15:07:02.347:	 		 0.08811
15:07:02.357:	 		 0.08811
15:07:02.357:	 		 0.08811
15:07:02.357:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.08811
15:07:02.387:	 		 0.0881
15:07:02.407:1	 		 0.08811
15:07:02.407:1	 		 0.08811
15:07:02.407:1	 		 0.08811
15:07:02.427:	 		 0.08811
15:07:02.427:	 		 0.08811
15:07:02.427:	 		 0.08811
15:07:02.437:	 		 0.08811
15:07:02.437:	 		 0.08811
15:07:02.437:	 		 0.08811
15:07:02.457:	 		 0.08811
15:07:02.457:	 		 0.08811
15:07:02.457:	 		 0.08811
15:07:02.457:	 		 0.
15:07:02.467:08811		 0.08811
15:07:02.467:08811		 0.08811
15:07:02.467:08811		 0.08811
15:07:02.487:	 		 0.08811
15:07:02.487:	 		 0.08811
15:07:02.487:	 		 0.08811
15:07:02.507:	 		 0.08811
15:07:02.507:	 		 0.08811
15:07:02.507:	 		 0.08811
15:07:02.517:	 		 0.08811
15:07:02.517:	 		 0.08811
15:07:02.517:	 		 0.08811
15:07:02.537:	 		 0.08811
